Type,Score
T3-4,0.325276596
T3-4,0.369611111
T3-4,0.280969697
T3-4,0.265705882
T3-4,0.255444444
T3-4,0.243222222
T3-4,0.2395
T3-4,0.217052632
T3-4,0.199666667
T2,0.238615385
T2,0.224514286
T2,0.220555556
T2,0.125473684
T2,0.114833333
T2,0.114057143
T1,
