Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
NOVS1210,80,40,40,17,39,0.2125,0.4875,0.428571429,0.571428571,0.178571429,0.821428571,0.142857143,0.642857143,0.275,0.3,0.3,16,12,23,5,992.1234375,1405.2375,1454.631522,2353.974,1434.567,3083.15925,20,6,0.1,0.5,0.3,0,0.2,0.2,0.8,2171.033,1290.994,2357.303,765.468,1984.763,1816.52,0.115318298
NOVS1229,80,40,40,26,38,0.325,0.475,0.483870968,0.516129032,0.333333333,0.666666667,0.032258065,0.333333333,0.15,0.225,0.175,16,15,22,11,1279.17625,1719.197,869.7095455,1660.743636,1880.84825,1341.512,20,6,0.2,0.4,0.3,0.2,0.2,0.2,0.6,1446.0325,1541.1375,1407.136,1083.468,1484.929,1998.807,0.115318298
NOVS1237,80,40,40,24,53,0.3,0.6625,0.4,0.6,0.216216216,0.783783784,0.2,0.567567568,0.3625,0,0.075,24,16,29,8,986.57625,732.9221875,811.6418965,1470.453125,885.114625,945.068125,20,6,0.3,0.3,0.3,0.6,0,0.2,0.4,1865.083,1206.0475,1631.387,1457.64,2098.779,954.455,0.115318298
NOVS1215,80,40,40,30,39,0.375,0.4875,0.457142857,0.542857143,0.411764706,0.588235294,0.085714286,0.176470588,0.1125,0.125,0.15,19,16,20,14,1286.372368,2507.578438,2194.90275,2611.715357,4651.40775,3105.61925,20,7,0.5,0.2,0.35,0.6,0.4,0.2,0.2,2375.7115,4183.428,1572.473,2466.921,3178.95,5899.935,0.263175964
NOVS1209,80,40,40,26,43,0.325,0.5375,0.53125,0.46875,0.243243243,0.756756757,-0.0625,0.513513514,0.2125,0.2,0.075,15,17,28,9,910.939,859.0179412,948.7328571,1162.16,1033.6675,1066.95025,20,9,0.4,0.5,0.45,0.6,0.2,0.2,0.8,1195.37,1348.57,1197.363,1703.547,1193.377,993.593,0.823802948
NOVS1222,80,40,40,16,46,0.2,0.575,0.590909091,0.409090909,0.075,0.925,-0.181818182,0.85,0.375,0.45,0,9,13,37,3,1130.243889,1075.05,532.5033784,1549.471667,1269.511625,608.776,20,9,0.4,0.5,0.45,0.2,0.6,0,1,697.2534998,1237.259,365.9189998,702.3830001,1028.588,1772.135,0.823802948
NOVS1231,80,40,40,35,44,0.4375,0.55,0.512820513,0.487179487,0.375,0.625,-0.025641026,0.25,0.1125,0.025,0,19,20,25,15,2614.245,2185.51725,1909.1286,2049.877667,2392.808,1961.9095,20,9,0.4,0.5,0.45,0.2,0.6,0.6,0.4,2678.0655,2229.113,3382.079,2606.193,1974.052,1852.033,0.823802948
NOVS1234,80,40,40,31,40,0.3875,0.5,0.647058824,0.352941176,0.243243243,0.756756757,-0.294117647,0.513513514,0.1125,0.15,0.075,12,22,28,9,1376.852083,1550.361364,1312.307857,2256.844444,1673.6525,1702.9895,20,9,0.3,0.6,0.45,0.6,0,0.4,0.8,1996.319,1576.607,2043.901,1480.608,1948.737,1672.606,0.823802948
