Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
DNOVS1201,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,52,0.52,0.52,0.52,0.44,0.6,0.44,0.6,1066.2434,1323.3815,1073.6524,1067.9484,1058.8344,1578.8146,0.764353434
DNOVS1203,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,75,0.7,0.8,0.75,0.84,0.56,0.88,0.72,1532.2006,1446.425,1828.578,1755.0512,1235.8232,1137.7988,5.64E-07
DNOVS1204,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,69,0.62,0.76,0.69,0.6,0.64,0.72,0.8,1234.0276,1274.0668,980.8428,1306.0504,1487.2124,1242.0832,0.000183143
DNOVS1205,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,41,0.4,0.42,0.41,0.32,0.48,0.28,0.56,1115.8143,1165.1009,1023.9136,1148.0146,1207.715,1182.1872,0.08862608
DNOVS1206,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,46,0.48,0.44,0.46,0.6,0.36,0.24,0.64,1172.4107,1235.038,651.7854,1383.7422,1693.036,1086.3338,0.484118414
DNOVS1208,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,55,0.52,0.58,0.55,0.56,0.48,0.44,0.72,2179.5208,1439.3609,2702.7322,1384.2304,1656.3094,1494.4914,0.368201617
DNOVS1209,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,45,0.46,0.44,0.45,0.4,0.52,0.32,0.56,1804.6317,1460.804,1835.529,1327.8292,1773.7344,1593.7788,0.368201617
DNOVS1220,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,54,0.38,0.7,0.54,0.36,0.4,0.44,0.96,1210.5419,1588.8243,757.2214,1718.755,1663.8624,1458.8936,0.484118414
