Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
NOVS1600,60,31,29,18,33,0.3,0.55,0.346153846,0.653846154,0.36,0.64,0.307692308,0.28,0.25,0.161290323,0.137931034,17,9,16,9,1594.309412,1769.798333,1151.494687,2759.371667,1721.437903,1755.048103,16,7,0.375,0.5,0.4375,0.75,0,0.25,0.75,2242.380625,1540.360625,1078.1725,1475.815,3406.58875,1604.90625,0.803619385
NOVS1605,74,38,36,27,34,0.364864865,0.459459459,0.40625,0.59375,0.482758621,0.517241379,0.1875,0.034482759,0.094594595,0.157894737,0.194444444,19,13,15,14,1746.380789,3243.122308,2270.713,3014.866786,2387.475263,2954.540694,18,6,0.444444444,0.222222222,0.333333333,0.8,0,0.2,0.25,2586.021111,2325.893889,2290.54375,2779.80375,2822.403,1962.766,0.237884521
NOVS1606,72,38,34,18,31,0.25,0.430555556,0.458333333,0.541666667,0.28,0.72,0.083333333,0.44,0.180555556,0.368421053,0.264705882,13,11,18,7,1986.751923,1457.706364,1749.955,2846.816429,2149.565921,2114.466618,19,7,0.333333333,0.4,0.368421053,0.25,0.4,0.8,0,2519.9755,2842.851111,2667.937,3393.68,2372.014,2154.315,0.359283447
NOVS1607,75,36,39,17,45,0.226666667,0.6,0.433333333,0.566666667,0.125,0.875,0.133333333,0.75,0.373333333,0.166666667,0.179487179,17,13,28,4,1609.668529,2079.336538,1384.327143,2542.7375,1969.538194,1788.579487,19,9,0.333333333,0.6,0.473684211,0.2,0.5,0.2,1,1734.4575,2770.301667,1354.648,4286.0275,2114.267,1557.721,1
NOVS1609,78,39,39,21,20,0.269230769,0.256410256,0.636363636,0.363636364,0.368421053,0.631578947,-0.272727273,0.263157895,-0.012820513,0.435897436,0.512820513,8,14,12,7,873.868125,3037.290357,1495.045833,2309.898571,2406.729487,2303.888718,20,8,0.5,0.3,0.4,0.2,0.8,0.2,0.4,2033.739,1747.247,2286.788,1137.495,1780.69,2356.999,0.503444672
NOVS1610,74,40,34,19,49,0.256756757,0.662162162,0.558823529,0.441176471,0,1,-0.117647059,1,0.405405405,0.15,0,15,19,34,0,2305.453667,1797.166316,1364.336324,nan,2184.115375,1364.336324,20,13,0.5,0.8,0.65,0.6,0.4,0.6,1,2487.955,2745.608,1048.938,3285.259,3926.972,2205.957,0.263175964
NOVS1611,74,38,36,37,37,0.5,0.5,0.526315789,0.473684211,0.472222222,0.527777778,-0.052631579,0.055555556,0,0,0,18,20,19,17,1635.949167,1921.269,2425.061579,2123.546765,1786.1175,2282.679583,20,6,0.3,0.3,0.3,0,0.6,0.4,0.2,2146.486,1981.2395,2339.531,1627.258,1953.441,2335.221,0.115318298
NOVS1616,67,38,29,14,39,0.208955224,0.582089552,0.518518519,0.481481481,0,1,-0.037037037,1,0.373134328,0.289473684,0.103448276,13,14,26,0,1531.893846,1882.928929,1235.548077,nan,1869.945789,1403.732931,18,11,0.375,0.8,0.611111111,0.5,0.25,0.8,0.8,2237.037,1965.28875,1477.67,2724.78875,2996.404,1205.78875,0.480682373
NOVS1618,66,36,30,19,30,0.287878788,0.454545455,0.72,0.28,0.041666667,0.958333333,-0.44,0.916666667,0.166666667,0.305555556,0.2,7,18,23,1,2783.682143,3462.151944,2196.01087,1467.33,3153.583611,2136.881333,17,7,0.333333333,0.5,0.411764706,0.5,0.2,0.25,0.75,2041.983125,3284.036111,1458.8775,3674.521,2625.08875,2795.93,0.629058838
NOVS1621,76,39,37,26,42,0.342105263,0.552631579,0.371428571,0.628571429,0.393939394,0.606060606,0.257142857,0.212121212,0.210526316,0.102564103,0.108108108,22,13,20,13,2407.797727,1504.360385,2670.98,2988.630769,2004.541667,2710.838243,17,7,0.5,0.285714286,0.411764706,0.4,0.6,0,0.666666667,1615.247143,2556.672,1397.371667,3809.551,1778.65375,1303.793,0.629058838
NOVS1623,76,39,37,16,46,0.210526316,0.605263158,0.48,0.52,0.108108108,0.891891892,0.04,0.783783784,0.394736842,0.358974359,0,13,12,33,4,1091.132692,1315.509583,1041.583485,4101.07625,1246.719615,1372.339459,18,11,0.375,0.8,0.611111111,0.25,0.5,0.6,1,1412.787,1010.385625,977.084,866.75875,1848.49,1154.0125,0.480682373
NOVS1624,68,39,29,26,35,0.382352941,0.514705882,0.484848485,0.515151515,0.357142857,0.642857143,0.03030303,0.285714286,0.132352941,0.153846154,0.034482759,17,16,18,10,1513.775,1869.275625,1122.458333,2886.9455,2034.890385,1766.498276,20,10,0.5,0.5,0.5,0.6,0.4,0.4,0.6,2213.5285,2242.3225,2577.522,1994.3,1849.535,2490.345,1
NOVS1625,67,39,28,4,18,0.059701493,0.268656716,0.307692308,0.692307692,0,1,0.384615385,1,0.208955224,0.666666667,0.678571429,9,4,9,0,996.2494444,2577.1325,1060.158889,nan,1976.379615,1915.755179,19,1,0.1,0,0.052631579,0.2,0,0,0,1344.557222,3243.7615,1606.9825,3437.726,1134.617,3049.797,7.63E-05
NOVS1627,60,31,29,5,18,0.083333333,0.3,0.666666667,0.333333333,0.058823529,0.941176471,-0.333333333,0.882352941,0.216666667,0.806451613,0.413793103,2,4,16,1,499.2075,801.29875,797.6978125,3802.83,1767.401935,1227.058103,14,3,0.125,0.333333333,0.214285714,0,0.25,0.25,0.5,1279.485,1656.451875,1674.245,1819.2525,1082.105,1493.65125,0.057373047
NOVS1628,62,35,27,19,43,0.306451613,0.693548387,0.4,0.6,0.185185185,0.814814815,0.2,0.62962963,0.387096774,0,0,21,14,22,5,1400.827619,1106.7,1117.750682,2042.671,1283.176571,1289.032222,19,9,0.6,0.333333333,0.473684211,0.6,0.6,0.4,0.25,1510.273333,738.5715,2259.695,601.273,910.736,875.87,1
NOVS1629,73,39,34,29,44,0.397260274,0.602739726,0.487179487,0.512820513,0.294117647,0.705882353,0.025641026,0.411764706,0.205479452,0,0,20,19,24,10,1452.878,1490.176842,1256.208125,2148.5595,1471.049231,1518.664412,20,15,0.7,0.8,0.75,0.6,0.8,0.8,0.8,2047.969,1190.6175,1204.078,1038.271,2891.86,1342.964,0.041389465
NOVS1630,71,38,33,15,27,0.211267606,0.38028169,0.5,0.5,0.269230769,0.730769231,0,0.461538462,0.169014085,0.578947368,0.212121212,8,8,19,7,1619.4275,1450.599375,1206.023421,3387.047857,2039.585921,1918.837273,18,8,0.5,0.375,0.444444444,0.6,0.4,0.4,0.333333333,2506.56375,2361.1415,1547.923333,1594.542,3081.748,3127.741,0.814529419
NOVS1631,54,30,24,26,25,0.481481481,0.462962963,0.555555556,0.444444444,0.458333333,0.541666667,-0.111111111,0.083333333,-0.018518519,0.1,0,12,15,13,11,2288.165833,1844.804333,1721.088077,2913.046364,2039.966,2267.402292,14,9,0.625,0.666666667,0.642857143,0.75,0.5,1,0.333333333,1450.4925,2328.51125,2002.05,2253.80375,898.935,2403.21875,0.423950195
NOVS1632,75,38,37,18,51,0.24,0.68,0.53125,0.46875,0.027027027,0.972972973,-0.0625,0.945945946,0.44,0.157894737,0,15,17,36,1,2411.582667,1897.924706,814.6081944,2585.03,2312.391974,862.4574324,19,10,0.5,0.555555556,0.526315789,0.4,0.6,0.2,1,2042.233333,1732.1395,862.725,1982.9,2985.84,1481.379,1
NOVS1633,78,39,39,10,58,0.128205128,0.743589744,0.333333333,0.666666667,0,1,0.333333333,1,0.615384615,0.230769231,0.025641026,20,10,38,0,2503.88675,3384.6105,2062.603158,nan,3216.883077,2100.801795,20,10,0.4,0.6,0.5,0.4,0.4,0.2,1,2750.5245,3525.0045,1783.998,3002.877,3717.051,4047.132,1
NOVS1634,77,39,38,30,42,0.38961039,0.545454545,0.459459459,0.540540541,0.371428571,0.628571429,0.081081081,0.257142857,0.155844156,0.051282051,0.078947368,20,17,22,13,1172.13025,1061.094412,1387.075227,903.3288462,1150.356795,1201.401184,20,8,0.3,0.5,0.4,0.4,0.2,0.2,0.8,742.3295,853.4715,669.6789999,685.1680001,814.98,1021.775,0.503444672
NOVS1636,61,36,25,18,31,0.295081967,0.508196721,0.444444444,0.555555556,0.272727273,0.727272727,0.111111111,0.454545455,0.213114754,0.25,0.12,15,12,16,6,1806.392667,1526.694167,2011.388125,2715.488333,2164.4375,2170.937,19,5,0,0.555555556,0.263157895,0,0,0.6,0.5,2468.073889,1892.4705,1404.23125,2041.975,3319.148,1742.966,0.063568115
NOVS1637,73,38,35,23,41,0.315068493,0.561643836,0.470588235,0.529411765,0.233333333,0.766666667,0.058823529,0.533333333,0.246575342,0.105263158,0.142857143,18,16,23,7,1193.800833,795.610625,1143.159783,1205.65,1046.825526,1183.182429,18,9,0.7,0.25,0.5,0.8,0.6,0,0.5,1903.513125,1097.1745,929.80125,1199.794,2877.225,994.555,1
NOVS1639,78,38,40,17,48,0.217948718,0.615384615,0.483870968,0.516129032,0.058823529,0.941176471,0.032258065,0.882352941,0.397435897,0.184210526,0.15,16,15,32,2,1141.648125,1092.126,631.6523438,1317.635,1201.555395,759.747625,19,10,0.7,0.333333333,0.526315789,0.8,0.6,0.2,0.5,1630.252778,1023.569,1018.0125,1156.018,2120.045,891.12,1
NOVS1640,72,38,34,26,44,0.361111111,0.611111111,0.552631579,0.447368421,0.15625,0.84375,-0.105263158,0.6875,0.25,0,0.058823529,17,21,27,5,1271.789412,1661.41381,1163.302778,2248.903,1487.108158,1450.573824,19,11,0.5,0.666666667,0.578947368,0.6,0.4,0.4,1,1822.161667,2656.043,1265.495,1764.097,2267.495,3547.989,0.647605896
NOVS1641,71,38,33,18,21,0.253521127,0.295774648,0.48,0.52,0.428571429,0.571428571,0.04,0.142857143,0.042253521,0.342105263,0.575757576,13,12,8,6,1836.759615,1374.33625,1669.665,2091.399167,1592.136053,1481.237879,18,4,0.375,0.1,0.222222222,0.5,0.25,0.2,0,2397.2805,1284.031875,3269.691,990.865,1524.87,1577.19875,0.030883789
