Note 2,Note 3,Note 4,Note 5,Major and Minor triads,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Generic 2nds,Generic 3rds,Generic 4ths,Imperfections,Sameness Quotient,Coherence Quotient,Stackable with 3rds,Scalar Pentachord,Subset of Diatonic,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Total Parents,Consecutive semitones,Spread Unevenness,Polygon Area,Subset of MOLT,Unique Diads,Total Diads,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,Semitone Set Violations,# Segments,Motive Strength,Scale Degree Clarity,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Score
1,4,5,7,1,4,2,1,2,2,2,1,3,4,3,3,0.1,0.44,0,0,0,0,1,0,1,1,0.571428571,0.535719582,3,6,15,5,10,10,0.358602455,0.639711153,0.553354654,6,5,3,1,3,3,0.219611111
1,4,5,8,3,3,2,0,2,4,2,0,2,6,2,3,0.25,0.64,1,0,0,0,1,0,1,1,0.5,0.615297053,3,4,14,5,7,16,0.311897454,0.54732117,0.467706719,6,5,5,1,2,3,0.177030303
1,4,6,7,1,4,2,1,2,1,2,2,3,3,4,3,0.1,0.52,0,0,0,0,0,0,0,1,0.571428571,0.535719582,5,6,16,5,8,14,0.334429721,0.619024122,0.56003423,6,5,3,1,2,3,0.1635
1,4,6,8,1,4,1,2,1,3,2,1,3,4,3,3,0.15,0.8,0,0,0,0,1,1,2,1,0.392857143,0.652229086,3,6,14,5,10,12,0.326758149,0.507927672,0.475010448,8,4,3,1,1,3,0.150787879
1,4,6,9,3,3,1,1,3,2,2,1,2,5,3,3,0.25,0.96,0,0,0,0,1,0,1,1,0.321428571,0.694874525,3,6,11,4,9,10,0.273577454,0.442429868,0.429816209,8,4,4,1,1,3,0.136533333
1,4,7,8,2,3,2,0,2,3,2,1,2,5,3,3,0.2,0.8,0,0,0,0,1,0,1,1,0.5,0.615297053,3,5,14,5,10,12,0.312728652,0.514822363,0.479115878,6,4,3,1,2,3,0.172181818
1,5,6,7,0,3,3,1,0,1,3,2,4,1,5,2,0.25,0.52,0,0,0,0,0,0,0,2,0.75,0.45614211,4,5,15,4,7,15,0.383895643,0.69136167,0.681038416,4,4,4,0.6,3,3,0.125428571
1,5,6,8,2,3,2,1,1,2,3,1,3,3,4,2,0.25,0.8,0,0,1,1,0,0,1,1,0.571428571,0.572651615,3,6,11,5,9,10,0.355958751,0.577098235,0.577098235,6,5,3,1,2,2,0.248125
2,3,4,5,0,3,3,3,2,1,1,0,6,3,1,4,0.2,0.16,0,1,0,0,0,0,0,3,0.821428571,0.296987167,1,5,13,5,8,12,0.469413691,1.059564638,0.573816154,4,3,4,0.2,3,4,0.227235294
2,3,4,6,0,3,2,3,2,2,0,1,5,4,1,5,0.2,0.24,0,1,0,0,0,0,0,2,0.642857143,0.434819391,3,5,14,5,9,10,0.419140452,0.88652509,0.455578719,6,4,3,0.6,3,4,0.220645161
2,3,4,7,2,4,2,2,2,2,2,0,4,4,2,3,0.05,0.12,0,0,0,0,0,0,0,2,0.571428571,0.535719582,2,5,16,5,10,10,0.359808351,0.777217928,0.359808351,6,4,3,0.6,2,3,0.216571429
2,3,4,8,1,3,2,2,1,3,1,1,4,4,2,4,0.1,0.2,0,0,0,0,0,0,0,2,0.571428571,0.572651615,3,6,16,5,10,12,0.317262169,0.728476544,0.317262169,6,3,3,0.6,3,3,0.1089375
