Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
DNOVS1602,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,51,0.48,0.54,0.51,0.48,0.48,0.44,0.64,1009.0103,924.4319,668.9262,1023.236,1349.0944,825.6278,0.920410763
DNOVS1604,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,65,0.52,0.78,0.65,0.64,0.4,0.6,0.96,2676.2149,1895.1399,3995.2704,1821.6328,1357.1594,1968.647,0.003517642
DNOVS1605,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,53,0.38,0.68,0.53,0.4,0.36,0.64,0.72,1174.4042,1238.6253,1082.9464,1391.6242,1265.862,1085.6264,0.617299414
DNOVS1609,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,44,0.48,0.4,0.44,0.44,0.52,0.2,0.6,7869.2337,3509.5378,10224.7432,4119.4468,5513.7242,2899.6288,0.271253024
DNOVS1615,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,44,0.38,0.5,0.44,0.36,0.4,0.32,0.68,1951.4933,2090.1611,1594.5434,1955.4678,2308.4432,2224.8544,0.271253024
DNOVS1619,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,100,51,0.52,0.5,0.51,0.4,0.64,0.44,0.56,3914.7332,3533.5662,3052.8526,3855.2038,4776.6138,3211.9286,0.920410763
